id,title,price,sku,description,mainCategory,image,amazonUrl,createdAt,category,bullets,images,videos,status,mrp,moq,created_at,updated_at,is_deleted,deleted_at
,"Kelenate® (Baked with Love) Kraft, 80 Pieces, 2inches, Round, Unique Designs, Self-Adhesive Stickers Labels Roll Decor Tags for Baking Packages, Homemade Gifts, Small Business Supplies",199,B0CTQ6LPT5,,,,,,Stickers,"[""[Handmade with Love Stickers] - Made of thicker premium kraft paper, thick and durable, not easy to break. The letters \""handmade with love\"" in black font are marked on the craft paper stickers and features a striking red heart, with the adorable stickers to seal your handmade gift can express your bright wishes."",""[Widely Uses] - The cute and lovely stickers can be used for decorating dessert package, homemade gifts, bakery boxes, home baker jams, cookie boxes, apple butter jars, envelope, diary, photo album, scrapbook, etc. This is a good gift for children, also suitable for school, shop, events using."",""[Self-adhesive & Easy to Use] - These craft paper stickers are self-adhesive, just peel off the backing from the roll and stick onto any dry and smooth surface, and have no issues with curling at the edge or leaving any residue to your items."",""[Suitable Occasions] - These stickers are romantic decoration for party, Christmas, Halloween, wedding ceremony, and other significant event. Also suitable for birthday, Mother's Day, Father's Day, Valentine's Day, New born and other celebrations.""]","[""/uploads/5d6ec6cf7297e8cd.jpg"",""/uploads/961539b475b2f8c6.jpg""]",[],active,199,1,2025-09-02 06:27:21,2025-09-02 06:27:21,0,
,"Kelenate® (Baked with Love Chef) Kraft, 80 Pieces, 2inches, Round, Unique Designs, Self-Adhesive Stickers Labels Roll Decor Tags for Baking Packages, Homemade Gifts, Small Business Supplies",199,B0CTQCPWGZ,,,,,,Stickers,"[""[Handmade with Love Stickers] - Made of thicker premium kraft paper, thick and durable, not easy to break. The letters \""handmade with love\"" in black font are marked on the craft paper stickers and features a striking red heart, with the adorable stickers to seal your handmade gift can express your bright wishes."",""[Widely Uses] - The cute and lovely stickers can be used for decorating dessert package, homemade gifts, bakery boxes, home baker jams, cookie boxes, apple butter jars, envelope, diary, photo album, scrapbook, etc. This is a good gift for children, also suitable for school, shop, events using."",""[Self-adhesive & Easy to Use] - These craft paper stickers are self-adhesive, just peel off the backing from the roll and stick onto any dry and smooth surface, and have no issues with curling at the edge or leaving any residue to your items."",""[Suitable Occasions] - These stickers are romantic decoration for party, Christmas, Halloween, wedding ceremony, and other significant event. Also suitable for birthday, Mother's Day, Father's Day, Valentine's Day, New born and other celebrations.""]","[""/uploads/a25af3f24ab6574d.jpg"",""/uploads/3036ab29b1e4c575.jpg""]",[],active,199,1,2025-09-02 06:27:26,2025-09-02 06:27:26,0,
,"Kelenate® (Baked with Love Chef Hat) Kraft, 80 Pieces, 2inches, Round, Unique Designs, Self-Adhesive Stickers Labels Roll Decor Tags for Baking Packages, Homemade Gifts, Small Business Supplies",199,B0CTQB14CH,,,,,,Stickers,"[""[Handmade with Love Stickers] - Made of thicker premium kraft paper, thick and durable, not easy to break. The letters \""handmade with love\"" in black font are marked on the craft paper stickers and features a striking red heart, with the adorable stickers to seal your handmade gift can express your bright wishes."",""[Widely Uses] - The cute and lovely stickers can be used for decorating dessert package, homemade gifts, bakery boxes, home baker jams, cookie boxes, apple butter jars, envelope, diary, photo album, scrapbook, etc. This is a good gift for children, also suitable for school, shop, events using."",""[Self-adhesive & Easy to Use] - These craft paper stickers are self-adhesive, just peel off the backing from the roll and stick onto any dry and smooth surface, and have no issues with curling at the edge or leaving any residue to your items."",""[Suitable Occasions] - These stickers are romantic decoration for party, Christmas, Halloween, wedding ceremony, and other significant event. Also suitable for birthday, Mother's Day, Father's Day, Valentine's Day, New born and other celebrations.""]","[""/uploads/30052dc4d482fd14.jpg"",""/uploads/6fb96443d7cd925f.jpg""]",[],active,199,1,2025-09-02 06:27:32,2025-09-02 06:27:32,0,
,"Kelenate® (Handmade) Kraft, 80 Pieces, 2inches, Round, Unique Designs, Self-Adhesive Stickers Labels Roll Decor Tags for Baking Packages, Homemade Gifts, Small Business Supplies",199,B0CTQ7DHT9,,,,,,Stickers,"[""[Handmade with Love Stickers] - Made of thicker premium kraft paper, thick and durable, not easy to break. The letters \""handmade with love\"" in black font are marked on the craft paper stickers and features a striking red heart, with the adorable stickers to seal your handmade gift can express your bright wishes."",""[Widely Uses] - The cute and lovely stickers can be used for decorating dessert package, homemade gifts, bakery boxes, home baker jams, cookie boxes, apple butter jars, envelope, diary, photo album, scrapbook, etc. This is a good gift for children, also suitable for school, shop, events using."",""[Self-adhesive & Easy to Use] - These craft paper stickers are self-adhesive, just peel off the backing from the roll and stick onto any dry and smooth surface, and have no issues with curling at the edge or leaving any residue to your items."",""[Suitable Occasions] - These stickers are romantic decoration for party, Christmas, Halloween, wedding ceremony, and other significant event. Also suitable for birthday, Mother's Day, Father's Day, Valentine's Day, New born and other celebrations.""]","[""/uploads/a63e6b1c20d5e96a.jpg"",""/uploads/04368ce907e7e28b.jpg""]",[],active,199,1,2025-09-02 06:27:36,2025-09-02 06:27:36,0,
,"Kelenate® (Made with Love) Kraft, 80 Pieces, 2inches, Round, Unique Designs, Self-Adhesive Stickers Labels Roll Decor Tags for Baking Packages, Homemade Gifts, Small Business Supplies",247,B0CTQ1CZ4W,,,,,,Stickers,"[""[Handmade with Love Stickers] - Made of thicker premium kraft paper, thick and durable, not easy to break. The letters \""handmade with love\"" in black font are marked on the craft paper stickers and features a striking red heart, with the adorable stickers to seal your handmade gift can express your bright wishes."",""[Widely Uses] - The cute and lovely stickers can be used for decorating dessert package, homemade gifts, bakery boxes, home baker jams, cookie boxes, apple butter jars, envelope, diary, photo album, scrapbook, etc. This is a good gift for children, also suitable for school, shop, events using."",""[Self-adhesive & Easy to Use] - These craft paper stickers are self-adhesive, just peel off the backing from the roll and stick onto any dry and smooth surface, and have no issues with curling at the edge or leaving any residue to your items."",""[Suitable Occasions] - These stickers are romantic decoration for party, Christmas, Halloween, wedding ceremony, and other significant event. Also suitable for birthday, Mother's Day, Father's Day, Valentine's Day, New born and other celebrations.""]","[""/uploads/c61d33f946cca60d.jpg"",""/uploads/d8c4140a1eb52eb2.jpg""]",[],active,247,1,2025-09-02 06:27:40,2025-09-02 06:27:40,0,
,"Kelenate® (Made with Love Heart) Kraft, 80 Pieces, 2inches, Round, Unique Designs, Self-Adhesive Stickers Labels Roll Decor Tags for Baking Packages, Homemade Gifts, Small Business Supplies",261,B0CTQ3Z6K4,,,,,,Stickers,"[""[Handmade with Love Stickers] - Made of thicker premium kraft paper, thick and durable, not easy to break. The letters \""handmade with love\"" in black font are marked on the craft paper stickers and features a striking red heart, with the adorable stickers to seal your handmade gift can express your bright wishes."",""[Widely Uses] - The cute and lovely stickers can be used for decorating dessert package, homemade gifts, bakery boxes, home baker jams, cookie boxes, apple butter jars, envelope, diary, photo album, scrapbook, etc. This is a good gift for children, also suitable for school, shop, events using."",""[Self-adhesive & Easy to Use] - These craft paper stickers are self-adhesive, just peel off the backing from the roll and stick onto any dry and smooth surface, and have no issues with curling at the edge or leaving any residue to your items."",""[Suitable Occasions] - These stickers are romantic decoration for party, Christmas, Halloween, wedding ceremony, and other significant event. Also suitable for birthday, Mother's Day, Father's Day, Valentine's Day, New born and other celebrations.""]","[""/uploads/e37fc6ee330a2462.jpg"",""/uploads/5c0e4a97c78df949.jpg""]",[],active,261,1,2025-09-02 06:27:45,2025-09-02 06:27:45,0,
,"Kelenate® (Speccially for You) Kraft, 80 Pieces, 2inches, Round, Unique Designs, Self-Adhesive Stickers Labels Roll Decor Tags for Baking Packages, Homemade Gifts, Small Business Supplies",261,B0CTQ67B3V,,,,,,Stickers,"[""[Handmade with Love Stickers] - Made of thicker premium kraft paper, thick and durable, not easy to break. The letters \""handmade with love\"" in black font are marked on the craft paper stickers and features a striking red heart, with the adorable stickers to seal your handmade gift can express your bright wishes."",""[Widely Uses] - The cute and lovely stickers can be used for decorating dessert package, homemade gifts, bakery boxes, home baker jams, cookie boxes, apple butter jars, envelope, diary, photo album, scrapbook, etc. This is a good gift for children, also suitable for school, shop, events using."",""[Self-adhesive & Easy to Use] - These craft paper stickers are self-adhesive, just peel off the backing from the roll and stick onto any dry and smooth surface, and have no issues with curling at the edge or leaving any residue to your items."",""[Suitable Occasions] - These stickers are romantic decoration for party, Christmas, Halloween, wedding ceremony, and other significant event. Also suitable for birthday, Mother's Day, Father's Day, Valentine's Day, New born and other celebrations.""]","[""/uploads/5678238b1d7e454e.jpg"",""/uploads/18a72c613cd444ce.jpg""]",[],active,261,1,2025-09-02 06:27:49,2025-09-02 06:27:49,0,
,"Kelenate® (Speccially for You Heart) Kraft, 80 Pieces, 2inches, Round, Unique Designs, Self-Adhesive Stickers Labels Roll Decor Tags for Baking Packages, Homemade Gifts, Small Business Supplies",199,B0CTQF87YN,,,,,,Stickers,"[""[Handmade with Love Stickers] - Made of thicker premium kraft paper, thick and durable, not easy to break. The letters \""handmade with love\"" in black font are marked on the craft paper stickers and features a striking red heart, with the adorable stickers to seal your handmade gift can express your bright wishes."",""[Widely Uses] - The cute and lovely stickers can be used for decorating dessert package, homemade gifts, bakery boxes, home baker jams, cookie boxes, apple butter jars, envelope, diary, photo album, scrapbook, etc. This is a good gift for children, also suitable for school, shop, events using."",""[Self-adhesive & Easy to Use] - These craft paper stickers are self-adhesive, just peel off the backing from the roll and stick onto any dry and smooth surface, and have no issues with curling at the edge or leaving any residue to your items."",""[Suitable Occasions] - These stickers are romantic decoration for party, Christmas, Halloween, wedding ceremony, and other significant event. Also suitable for birthday, Mother's Day, Father's Day, Valentine's Day, New born and other celebrations.""]","[""/uploads/ee3fc6ca9457ff4c.jpg"",""/uploads/78f1906c07ad8015.jpg""]",[],active,199,1,2025-09-02 06:27:53,2025-09-02 06:27:53,0,
,"Kelenate® (Thanks You Doted) Kraft, 80 Pieces, 2inches, Round, Unique Designs, Self-Adhesive Stickers Labels Roll Decor Tags for Baking Packages, Homemade Gifts, Small Business Supplies",199,B0CTQLBV6F,,,,,,Stickers,"[""[Handmade with Love Stickers] - Made of thicker premium kraft paper, thick and durable, not easy to break. The letters \""handmade with love\"" in black font are marked on the craft paper stickers and features a striking red heart, with the adorable stickers to seal your handmade gift can express your bright wishes."",""[Widely Uses] - The cute and lovely stickers can be used for decorating dessert package, homemade gifts, bakery boxes, home baker jams, cookie boxes, apple butter jars, envelope, diary, photo album, scrapbook, etc. This is a good gift for children, also suitable for school, shop, events using."",""[Self-adhesive & Easy to Use] - These craft paper stickers are self-adhesive, just peel off the backing from the roll and stick onto any dry and smooth surface, and have no issues with curling at the edge or leaving any residue to your items."",""[Suitable Occasions] - These stickers are romantic decoration for party, Christmas, Halloween, wedding ceremony, and other significant event. Also suitable for birthday, Mother's Day, Father's Day, Valentine's Day, New born and other celebrations.""]","[""/uploads/2e7a6102e895c53f.jpg"",""/uploads/57a56316788788c0.jpg""]",[],active,199,1,2025-09-02 06:27:57,2025-09-02 06:27:57,0,
,"Kelenate® (Thanks You Flower) Kraft, 80 Pieces, 2inches, Round, Unique Designs, Self-Adhesive Stickers Labels Roll Decor Tags for Baking Packages, Homemade Gifts, Small Business Supplies",199,B0CTQ87BKK,,,,,,Stickers,"[""[Handmade with Love Stickers] - Made of thicker premium kraft paper, thick and durable, not easy to break. The letters \""handmade with love\"" in black font are marked on the craft paper stickers and features a striking red heart, with the adorable stickers to seal your handmade gift can express your bright wishes."",""[Widely Uses] - The cute and lovely stickers can be used for decorating dessert package, homemade gifts, bakery boxes, home baker jams, cookie boxes, apple butter jars, envelope, diary, photo album, scrapbook, etc. This is a good gift for children, also suitable for school, shop, events using."",""[Self-adhesive & Easy to Use] - These craft paper stickers are self-adhesive, just peel off the backing from the roll and stick onto any dry and smooth surface, and have no issues with curling at the edge or leaving any residue to your items."",""[Suitable Occasions] - These stickers are romantic decoration for party, Christmas, Halloween, wedding ceremony, and other significant event. Also suitable for birthday, Mother's Day, Father's Day, Valentine's Day, New born and other celebrations.""]","[""/uploads/b6ff920bb5882ea7.jpg"",""/uploads/4ba0b761f4f12c53.jpg""]",[],active,199,1,2025-09-02 06:28:01,2025-09-02 06:28:01,0,
